# Example files (used in generateExamples):
# example_braille_file = RustTestData/Nemeth.brls
# example_mathml_file = RustTestData/Nemeth.mmls
#
# Input files:
# input_braille_file = test_data/Nemeth
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = Nemeth
# gen_braille = False
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth Braille characters.  Here are two examples: '⠠⠑⠀⠨⠅⠀⠍⠉⠘⠆' and  '⠎⠊⠝⠀⠷⠨⠹⠾'. Your task is to translate each exact Braille sequence of characters into valid MathML code. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Add '|next-item|' between each MathML output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 150 items. Usage info: prompt=6770, candidates=9071, total=116684, time=54234ms, TPS=5978.833645684048.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠋⠷⠭⠾⠤⠢ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>5</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>8</mn> </mrow> </math>
✓ | ⠇⠝⠀⠷⠽⠾ | <math> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠑⠘⠇⠝⠀⠷⠽⠾ | <math> <msup> <mi>e</mi> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </msup> </math> | <math> <msup> <mi>e</mi> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </msup> </math>
✗ | ⠑⠘⠤⠆⠀⠈⠱⠈⠱⠀⠼⠴⠨⠂⠒⠢ | <math> <mrow> <msup> <mi>e</mi> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </msup> <mo>≈</mo> <mn>0.135</mn> </mrow> </math> | <math> <mrow> <msup> <mi>e</mi> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </msup> <mo>≈</mo> <mn>0.138</mn> </mrow> </math>
✗ | ⠽⠀⠨⠅⠀⠼⠴⠸⠆ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>;</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠈⠷⠴⠨⠂⠠⠀⠴⠨⠆⠈⠾ | <math> <mrow> <mo>[</mo> <mrow> <mn>0.1</mn> <mo>,</mo> <mn>0.2</mn> </mrow> <mo>]</mo> </mrow> </math> | <math> <mrow> <mo>[</mo> <mrow> <mn>0.1</mn> <mo>,</mo> <mn>0.2</mn> </mrow> <mo>]</mo> </mrow> </math>
✗ | ⠉⠕⠎⠀⠷⠞⠾⠀⠨⠅⠀⠤⠹⠜⠒⠻⠌⠆⠼ | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mfrac> <msqrt> <mn>3</mn> </msqrt> <mn>2</mn> </mfrac> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> </mrow> </mrow> </math>
✓ | ⠞⠁⠝⠀⠷⠞⠾⠀⠨⠅⠀⠹⠎⠊⠝⠀⠷⠞⠾⠌⠉⠕⠎⠀⠷⠞⠾⠼⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠐⠇⠊⠍⠩⠭⠀⠫⠕⠀⠼⠴⠘⠬⠐⠻⠀⠹⠂⠌⠭⠘⠆⠐⠼⠀⠨⠅⠀⠠⠿ | <math> <mrow> <mrow> <munder> <mi movablelimits="true">lim</mi> <mrow> <mi>x</mi> <mo>→</mo> <msup> <mn>0</mn> <mo>+</mo> </msup> </mrow> </munder> <mo>⁡</mo> <mfrac> <mn>1</mn> <msup> <mi>x</mi> <mn>2</mn> </msup> </mfrac> </mrow> <mo>=</mo> <mi>∞</mi> </mrow> </math> | <math> <mrow> <mrow> <munder> <mi>lim</mi> <mrow> <mi>x</mi> <mo>→</mo> <msup> <mn>0</mn> <mo>+</mo> </msup> </mrow> </munder> <mo>⁡</mo> <mfrac> <mn>1</mn> <msup> <mi>x</mi> <mn>2</mn> </msup> </mfrac> </mrow> <mo>=</mo> <mi>∞</mi> </mrow> </math>
✓ | ⠠⠏⠆⠷⠭⠾⠀⠨⠅⠀⠼⠂⠤⠹⠭⠘⠆⠐⠌⠆⠯⠼ | <math> <mrow> <mrow> <msub> <mi>P</mi> <mn>2</mn> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>1</mn> <mo>-</mo> <mfrac> <msup> <mi>x</mi> <mn>2</mn> </msup> <mrow> <mn>2</mn> <mo>!</mo> </mrow> </mfrac> </mrow> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>P</mi> <mn>2</mn> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>1</mn> <mo>-</mo> <mfrac> <msup> <mi>x</mi> <mn>2</mn> </msup> <mrow> <mn>2</mn> <mo>!</mo> </mrow> </mfrac> </mrow> </mrow> </math>
✓ | ⠎⠊⠝⠀⠷⠭⠾⠀⠈⠱⠈⠱⠀⠭⠤⠹⠂⠌⠒⠯⠼⠭⠘⠒⠐⠬⠹⠂⠌⠢⠯⠼⠭⠘⠢⠐⠤⠹⠂⠌⠶⠯⠼⠭⠘⠶⠠ | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≈</mo> <mrow> <mi>x</mi> <mo>-</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mn>3</mn> <mo>!</mo> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>x</mi> <mn>3</mn> </msup> </mrow> <mo>+</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mn>5</mn> <mo>!</mo> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>x</mi> <mn>5</mn> </msup> </mrow> <mo>-</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mn>7</mn> <mo>!</mo> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>x</mi> <mn>7</mn> </msup> </mrow> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≈</mo> <mrow> <mi>x</mi> <mo>-</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mn>3</mn> <mo>!</mo> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>x</mi> <mn>3</mn> </msup> </mrow> <mo>+</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mn>5</mn> <mo>!</mo> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>x</mi> <mn>5</mn> </msup> </mrow> <mo>-</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mn>7</mn> <mo>!</mo> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>x</mi> <mn>7</mn> </msup> </mrow> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠭⠀⠫⠕⠀⠤⠠⠿⠸⠒ | <math> <mrow> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>:</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>?</mo> </mrow> </math>
✗ | ⠐⠇⠊⠍⠩⠭⠀⠫⠕⠀⠤⠠⠿⠻⠀⠹⠂⠌⠭⠘⠝⠐⠼⠀⠨⠅⠀⠼⠴⠸⠲ | <math> <mrow> <mrow> <mrow> <munder> <mi movablelimits="true">lim</mi> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </munder> <mo>⁡</mo> <mfrac> <mn>1</mn> <msup> <mi>x</mi> <mi>n</mi> </msup> </mfrac> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <munder> <mi>lim</mi> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </munder> <mo>⁡</mo> <mfrac> <mn>1</mn> <msup> <mi>x</mi> <mi>n</mi> </msup> </mfrac> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠝⠀⠨⠅⠀⠍⠠ | <math> <mrow> <mrow> <mi>n</mi> <mo>=</mo> <mi>m</mi> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>n</mi> <mo>=</mo> <mi>m</mi> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠠⠁⠠⠧⠰⠈⠷⠆⠪⠆⠬⠓⠈⠾⠀⠨⠅⠀⠹⠤⠒⠆⠓⠤⠂⠖⠓⠘⠆⠐⠌⠓⠼⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁢</mo> <msub> <mi>V</mi> <mrow> <mo>[</mo> <mrow> <mn>2</mn> <mo>,</mo> <mrow> <mn>2</mn> <mo>+</mo> <mi>h</mi> </mrow> </mrow> <mo>]</mo> </mrow> </msub> </mrow> <mo>=</mo> <mfrac> <mrow> <mrow> <mrow> <mo>-</mo> <mn>32</mn> </mrow> <mo>⁢</mo> <mi>h</mi> </mrow> <mo>-</mo> <mrow> <mn>16</mn> <mo>⁢</mo> <msup> <mi>h</mi> <mn>2</mn> </msup> </mrow> </mrow> <mi>h</mi> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁣</mo> <mi>V</mi> </mrow> <mo>⁢</mo> <mrow> <mo>[</mo> <mrow> <mrow> <mn>2</mn> <mo>·</mo> <mn>2</mn> </mrow> <mo>+</mo> <mi>h</mi> </mrow> <mo>]</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mrow> <mrow> <mo>-</mo> <mn>26</mn> </mrow> <mo>⁢</mo> <mi>h</mi> </mrow> <mo>-</mo> <mrow> <mn>16</mn> <mo>⁢</mo> <msup> <mi>h</mi> <mn>2</mn> </msup> </mrow> </mrow> <mi>h</mi> </mfrac> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠒⠐⠬⠒⠌⠭⠘⠒⠐⠤⠦⠼ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>+</mo> <mn>3</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>-</mo> <mn>8</mn> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>+</mo> <mn>3</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>-</mo> <mn>7</mn> </mrow> </mfrac> </mrow> </math>
✓ | ⠙⠷⠹⠨⠏⠌⠆⠼⠾⠀⠨⠅⠀⠼⠆⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>d</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>2</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>d</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>2</mn> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠅⠀⠨⠅⠀⠹⠆⠨⠏⠌⠠⠏⠼⠸⠲ | <math> <mrow> <mrow> <mi>k</mi> <mo>=</mo> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mi>P</mi> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>k</mi> <mo>=</mo> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mi>P</mi> </mfrac> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠥⠷⠭⠾⠀⠨⠅⠀⠤⠼⠴⠨⠆⠢⠎⠊⠝⠀⠷⠒⠭⠤⠖⠾⠬⠢ | <math> <mrow> <mrow> <mi>u</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>0.25</mn> </mrow> <mo>⁢</mo> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>+</mo> <mn>5</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>u</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>0.25</mn> </mrow> <mo>⁢</mo> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>+</mo> <mn>8</mn> </mrow> </mrow> </math>
✗ | ⠼⠆⠦ | <math> <mn>28</mn> </math> | <math> <mn>27</mn> </math>
✓ | ⠼⠂⠂⠂ | <math> <mn>111</mn> </math> | <math> <mn>111</mn> </math>
✓ | ⠼⠆⠘⠒⠴⠀⠨⠅⠀⠼⠂⠴⠶⠒⠶⠲⠂⠦⠆⠲ | <math> <mrow> <msup> <mn>2</mn> <mn>30</mn> </msup> <mo>=</mo> <mn>1073741824</mn> </mrow> </math> | <math> <mrow> <msup> <mn>2</mn> <mn>30</mn> </msup> <mo>=</mo> <mn>1073741824</mn> </mrow> </math>
✗ | ⠧⠷⠞⠾⠀⠨⠅⠀⠤⠼⠶⠢⠆⠆⠷⠂⠨⠴⠒⠦⠂⠶⠾⠘⠞⠐⠬⠖⠶⠒⠂ | <math> <mrow> <mrow> <mi>v</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>7522</mn> </mrow> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mn>1.03817</mn> <mo>)</mo> </mrow> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mn>6731</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>v</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>7522</mn> </mrow> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mn>1.03718</mn> <mo>)</mo> </mrow> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mn>6831</mn> </mrow> </mrow> </math>
✓ | ⠁⠃⠘⠞ | <math> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </math> | <math> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </math>
✗ | ⠉⠀⠐⠅⠀⠼⠴⠸⠆ | <math> <mrow> <mrow> <mi>c</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> <mo>;</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>c</mi> <mo>&gt;</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠠⠉⠷⠂⠴⠾⠀⠨⠅⠀⠼⠦⠴⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>10</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>80</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>10</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>70</mn> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠓⠀⠨⠅⠀⠹⠆⠲⠌⠨⠏⠼⠀⠈⠱⠈⠱⠀⠼⠶⠨⠖⠲⠸⠲ | <math> <mrow> <mrow> <mi>h</mi> <mo>=</mo> <mrow> <mfrac> <mn>24</mn> <mi>π</mi> </mfrac> <mo>≈</mo> <mn>7.64</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>h</mi> <mo>=</mo> <mrow> <mfrac> <mn>24</mn> <mi>π</mi> </mfrac> <mo>≈</mo> <mn>7.64</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠙⠀⠨⠅⠀⠼⠂⠢ | <math> <mrow> <mi>d</mi> <mo>=</mo> <mn>15</mn> </mrow> </math> | <math> <mrow> <mi>d</mi> <mo>=</mo> <mn>15</mn> </mrow> </math>
✗ | ⠼⠒⠨⠒⠦⠂ | <math> <mn>3.381</mn> </math> | <math> <mn>3.371</mn> </math>
✓ | ⠼⠂⠒⠨⠴⠴⠴ | <math> <mn>13.000</mn> </math> | <math> <mn>13.000</mn> </math>
✗ | ⠃⠀⠐⠅⠀⠼⠂ | <math> <mrow> <mi>b</mi> <mo>&lt;</mo> <mn>1</mn> </mrow> </math> | <math> <mrow> <mi>b</mi> <mo>&gt;</mo> <mn>1</mn> </mrow> </math>
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠑⠘⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>e</mi> <mi>t</mi> </msup> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>e</mi> <mi>t</mi> </msup> </mrow> </math>
✓ | ⠑⠀⠈⠱⠈⠱⠀⠼⠆⠨⠶⠂⠦⠆⠦⠂⠦⠸⠲ | <math> <mrow> <mrow> <mi>e</mi> <mo>≈</mo> <mn>2.7182818</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>e</mi> <mo>≈</mo> <mn>2.7182818</mn> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠠⠇⠷⠭⠾⠀⠨⠅⠀⠃⠬⠍⠭⠠ | <math> <mrow> <mrow> <mrow> <mi>L</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>b</mi> <mo>+</mo> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>L</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>b</mi> <mo>+</mo> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠠⠟⠷⠭⠾⠀⠨⠅⠀⠁⠴⠬⠁⠂⠭⠬⠁⠆⠭⠘⠆ | <math> <mrow> <mrow> <mi>Q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msub> <mi>a</mi> <mn>0</mn> </msub> <mo>+</mo> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mrow> <msub> <mi>a</mi> <mn>2</mn> </msub> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>Q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msub> <mi>a</mi> <mn>0</mn> </msub> <mo>+</mo> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mrow> <msub> <mi>a</mi> <mn>2</mn> </msub> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </mrow> </math>
✗ | ⠁⠴⠠⠀⠄⠄⠄⠠⠀⠁⠲ | <math> <mrow> <msub> <mi>a</mi> <mn>0</mn> </msub> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msub> <mi>a</mi> <mn>4</mn> </msub> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mn>0</mn> </msub> <mo>,</mo> <mo>…</mo> <mo>,</mo> <msub> <mi>a</mi> <mn>4</mn> </msub> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠶⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>7</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>7</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠭⠀⠐⠅⠀⠼⠂⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>&gt;</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠼⠂⠀⠐⠅⠀⠁⠀⠐⠅⠀⠃⠠ | <math> <mrow> <mrow> <mn>1</mn> <mo>&lt;</mo> <mi>a</mi> <mo>&lt;</mo> <mi>b</mi> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mn>1</mn> <mo>&gt;</mo> <mi>a</mi> <mo>&gt;</mo> <mi>b</mi> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠷⠭⠘⠆⠐⠬⠂⠴⠴⠴⠴⠾⠀⠿ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mn>10000</mn> </mrow> <mo>)</mo> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mn>10000</mn> </mrow> <mo>,</mo> <mi>∞</mi> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠷⠢⠤⠖⠭⠾⠷⠆⠭⠤⠲⠾⠘⠆⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>6</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>6</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠼⠴⠨⠆⠢⠠ | <math> <mrow> <mn>0.25</mn> <mo>,</mo> </mrow> </math> | <math> <mrow> <mn>0.25</mn> <mo>,</mo> </mrow> </math>
